Block Address with Zip,Crime Count,SafetyScore,ZipCode,block,street,lat,lng
"0 BLOCK  ADAMSON ST, 02134",28,25.16767270288397,2134,0,ADAMSON ST,42.35863579999999,-71.1365315
"0 BLOCK  ADDINGTON RD, 02132",2,100.0,2132,0,ADDINGTON RD,42.2875644,-71.1653948
"0 BLOCK  ADDISON ST, 02128",8,56.87458081824279,2128,0,ADDISON ST,42.38615129999999,-71.01901629999999
"0 BLOCK  ADELAIDE ST, 02130",11,48.52448021462106,2130,0,ADELAIDE ST,42.3183678,-71.10936509999999
"0 BLOCK  ADELAIDE TER, 02130",4,75.85513078470825,2130,0,ADELAIDE TER,42.3178935,-71.1096512
"0 BLOCK  ADELLA PL, 02134",2,100.0,2134,0,ADELLA PL,42.3524359,-71.1363746
"0 BLOCK  AGAWAM ST, 02122",6,64.738430583501,2122,0,AGAWAM ST,42.2953023,-71.053637
"0 BLOCK  AGUADILLA ST, 02118",31,22.98792756539235,2118,0,AGUADILLA ST,42.3423237,-71.07451859999999
"0 BLOCK  AINSLEY ST, 02122",4,75.85513078470825,2122,0,AINSLEY ST,42.2924843,-71.0563292
"0 BLOCK  AINSWORTH ST, 02131",4,75.85513078470825,2131,0,AINSWORTH ST,42.2872183,-71.13968969999999
"0 BLOCK  AKRON ST, 02119",38,18.661971830985912,2119,0,AKRON ST,42.32608980000001,-71.0860644
"0 BLOCK  ALABAMA ST, 02126",15,39.87256874580818,2126,0,ALABAMA ST,42.279274,-71.09834719999999
"0 BLOCK  ALAMEDA RD, 02132",2,100.0,2132,0,ALAMEDA RD,42.2916518,-71.15529959999999
"0 BLOCK  ALARIC ST, 02132",5,70.03688799463448,2132,0,ALARIC ST,42.2772745,-71.1603421
"0 BLOCK  ALASKA ST, 02119",24,29.10798122065728,2119,0,ALASKA ST,42.3214912,-71.0795835
"0 BLOCK  ALBAN ST, 02124",5,70.03688799463448,2124,0,ALBAN ST,42.2853836,-71.0654875
"0 BLOCK  ALBANO ST, 02131",12,46.12676056338029,2131,0,ALBANO ST,42.2821124,-71.1293472
"0 BLOCK  ALBANY ST, 02111",4,75.85513078470825,2111,0,ALBANY ST,42.3500504,-71.0597963
"0 BLOCK  ALBEMARLE CT, 02115",2,100.0,2115,0,ALBEMARLE CT,42.3424792,-71.08282849999999
"0 BLOCK  ALBEMARLE ST, 02115",5,70.03688799463448,2115,0,ALBEMARLE ST,42.3426915,-71.0834574
"0 BLOCK  ALBEMARLE ST, 02136",2,100.0,2136,0,ALBEMARLE ST,42.2424888,-71.13397239999999
"0 BLOCK  ALBERTA ST, 02132",4,75.85513078470825,2132,0,ALBERTA ST,42.2799807,-71.1584803
"0 BLOCK  ALBION PL, 02129",3,84.40643863179075,2129,0,ALBION PL,42.3807815,-71.0704441
"0 BLOCK  ALBION ST, 02119",14,42.25352112676056,2119,0,ALBION ST,42.3218448,-71.0723643
"0 BLOCK  ALCOTT ST, 02134",2,100.0,2134,0,ALCOTT ST,42.3577137,-71.1328827
"0 BLOCK  ALDIE ST, 02134",9,53.923541247484906,2134,0,ALDIE ST,42.3594587,-71.1366946
"0 BLOCK  ALDRICH ST, 02131",11,48.52448021462106,2131,0,ALDRICH ST,42.286142,-71.13928709999999
"0 BLOCK  ALDWORTH ST, 02130",8,56.87458081824279,2130,0,ALDWORTH ST,42.3087561,-71.1184474
"0 BLOCK  ALEXANDER ST, 02125",34,20.875251509054326,2125,0,ALEXANDER ST,42.3187441,-71.06909449999999
"0 BLOCK  ALFORD ST, 02129",15,39.87256874580818,2129,0,ALFORD ST,42.38544220000001,-71.0734402
"0 BLOCK  ALGER ST, 02127",2,100.0,2127,0,ALGER ST,42.3328169,-71.0585287
"0 BLOCK  ALGONQUIN ST, 02124",75,7.629107981220661,2124,0,ALGONQUIN ST,42.2978479,-71.07278769999999
"0 BLOCK  ALICIA RD, 02124",11,48.52448021462106,2124,0,ALICIA RD,42.2793807,-71.067877
"0 BLOCK  ALLANDALE ST, 02130",12,46.12676056338029,2130,0,ALLANDALE ST,42.300578,-71.1290108
"0 BLOCK  ALLEGHANY ST, 02120",50,13.69885982562039,2120,0,ALLEGHANY ST,42.32964339999999,-71.0977872
"0 BLOCK  ALLEN ST, 02136",4,75.85513078470825,2136,0,ALLEN ST,42.2474975,-71.1278184
"0 BLOCK  ALLERTON ST, 02119",10,50.93896713615024,2119,0,ALLERTON ST,42.3302449,-71.072018
"0 BLOCK  ALLEYNE ST, 02132",2,100.0,2132,0,ALLEYNE ST,42.27272869999999,-71.1467418
"0 BLOCK  ALLSTATE RD, 02118",3,84.40643863179075,2118,0,ALLSTATE RD,42.3301677,-71.0620747
"0 BLOCK  ALLSTATE RD, 02125",1215,0.0,2125,0,ALLSTATE RD,42.3301677,-71.0620747
"0 BLOCK  ALLSTATE RD, 02127",4,75.85513078470825,2127,0,ALLSTATE RD,42.3301677,-71.0620747
"0 BLOCK  ALLSTATE ROAD, 02125",99,4.862508383635145,2125,0,ALLSTATE ROAD,42.3301677,-71.0620747
"0 BLOCK  ALLSTATE ROAD, 02127",3,84.40643863179075,2127,0,ALLSTATE ROAD,42.3301677,-71.0620747
"0 BLOCK  ALLSTATE, 02125",2,100.0,2125,0,ALLSTATE,42.3157363,-71.0527482
"0 BLOCK  ALLSTON ST, 02124",18,35.798122065727696,2124,0,ALLSTON ST,42.2919456,-71.06699689999999
"0 BLOCK  ALLSTON ST, 02129",6,64.738430583501,2129,0,ALLSTON ST,42.3798272,-71.0640963
"0 BLOCK  ALLSTON ST, 02134",50,13.69885982562039,2134,0,ALLSTON ST,42.3532235,-71.1344052
"0 BLOCK  ALLSTON, 02124",2,100.0,2124,0,ALLSTON,42.2919456,-71.06699689999999
"0 BLOCK  ALMONT ST, 02126",64,9.507042253521124,2126,0,ALMONT ST,42.2743317,-71.0936743
"0 BLOCK  ALPHA RD, 02124",49,14.000670690811534,2124,0,ALPHA RD,42.2963363,-71.0671491
"0 BLOCK  ALPHEUS RD, 02131",4,75.85513078470825,2131,0,ALPHEUS RD,42.2724305,-71.1279598
"0 BLOCK  ALPINE ST, 02119",32,22.31723675385648,2119,0,ALPINE ST,42.3268272,-71.0860498
"0 BLOCK  ALPINE ST, 02126",7,60.39570757880617,2126,0,ALPINE ST,42.2640936,-71.1010172
"0 BLOCK  ALPINE ST, 02136",2,100.0,2136,0,ALPINE ST,42.2640936,-71.1010172
"0 BLOCK  ALTACREST RD, 02132",2,100.0,2132,0,ALTACREST RD,42.2724071,-71.1616574
"0 BLOCK  ALTACREST ROAD, 02132",3,84.40643863179075,2132,0,ALTACREST ROAD,42.2724071,-71.1616574
"0 BLOCK  ALTHEA ST, 02122",16,38.43058350100603,2122,0,ALTHEA ST,42.2944019,-71.0592075
"0 BLOCK  ALVAH KITTREDGE PARK, 02119",3,84.40643863179075,2119,0,ALVAH KITTREDGE PARK,42.3280783,-71.092511
"0 BLOCK  ALVAN TER, 02125",2,100.0,2125,0,ALVAN TER,42.317096,-71.0622781
"0 BLOCK  ALVARADO AVE, 02136",4,75.85513078470825,2136,0,ALVARADO AVE,42.2463092,-71.1362801
"0 BLOCK  ALVESTON ST, 02130",11,48.52448021462106,2130,0,ALVESTON ST,42.3118099,-71.1118919
"0 BLOCK  ALWIN ST, 02136",7,60.39570757880617,2136,0,ALWIN ST,42.2536455,-71.1399246
"0 BLOCK  AMBROSE ST, 02119",9,53.923541247484906,2119,0,AMBROSE ST,42.3301276,-71.07798269999999
"0 BLOCK  AMERICAN LEGION HIGHWAY, 02124",4,75.85513078470825,2124,0,AMERICAN LEGION HIGHWAY,42.2981311,-71.0870894
"0 BLOCK  AMERICAN LEGION HWY, 02121",8,56.87458081824279,2121,0,AMERICAN LEGION HWY,42.2981311,-71.0870894
"0 BLOCK  AMERICAN LEGION HWY, 02124",48,14.235412474849095,2124,0,AMERICAN LEGION HWY,42.2981311,-71.0870894
"0 BLOCK  AMES ST, 02124",62,10.060362173038229,2124,0,AMES ST,42.290744,-71.0865129
"0 BLOCK  AMES WAY, 02124",21,32.14285714285714,2124,0,AMES WAY,42.2901252,-71.0862587
"0 BLOCK  AMHERST ST, 02131",8,56.87458081824279,2131,0,AMHERST ST,42.2866002,-71.131515
"0 BLOCK  AMORY AVE, 02119",23,30.14755197853789,2119,0,AMORY AVE,42.3204439,-71.0993131
"0 BLOCK  AMORY ST, 02119",93,5.432595573440646,2119,0,AMORY ST,42.3216145,-71.0986448
"0 BLOCK  AMORY TER, 02119",5,70.03688799463448,2119,0,AMORY TER,42.3209351,-71.1008786
"0 BLOCK  AMORY, 02119",4,75.85513078470825,2119,0,AMORY,42.3204439,-71.0993131
"0 BLOCK  ANAWAN AVE, 02132",2,100.0,2132,0,ANAWAN AVE,42.28601889999999,-71.1464787
"0 BLOCK  ANDERER LN, 02132",4,75.85513078470825,2132,0,ANDERER LN,42.2938567,-71.1695908
"0 BLOCK  ANDERSON PL, 02114",3,84.40643863179075,2114,0,ANDERSON PL,42.3605269,-71.0675633
"0 BLOCK  ANDERSON ST, 02114",51,13.363514419852452,2114,0,ANDERSON ST,42.3610988,-71.0678722
"0 BLOCK  ANDRIA RD, 02136",4,75.85513078470825,2136,0,ANDRIA RD,42.2649636,-71.108626
"0 BLOCK  ANGELL ST, 02124",18,35.798122065727696,2124,0,ANGELL ST,42.2953377,-71.0878865
"0 BLOCK  ANITA TER, 02119",6,64.738430583501,2119,0,ANITA TER,42.3298609,-71.0950001
"0 BLOCK  ANITA TERRACE, 02119",2,100.0,2119,0,ANITA TERRACE,42.3298609,-71.0950001
"0 BLOCK  ANNABEL ST, 02125",11,48.52448021462106,2125,0,ANNABEL ST,42.3185221,-71.0627986
"0 BLOCK  ANNAFRAN ST, 02131",8,56.87458081824279,2131,0,ANNAFRAN ST,42.2747275,-71.1097613
"0 BLOCK  ANNAPOLIS ST, 02125",28,25.16767270288397,2125,0,ANNAPOLIS ST,42.3175155,-71.0617654
"0 BLOCK  ANNUNCIATION RD, 02120",146,2.448021462105965,2120,0,ANNUNCIATION RD,42.33669769999999,-71.09297510000002
"0 BLOCK  ANNUNCIATION ROAD, 02120",6,64.738430583501,2120,0,ANNUNCIATION ROAD,42.33669769999999,-71.09297510000002
"0 BLOCK  ANNUNCIATION, 02120",3,84.40643863179075,2120,0,ANNUNCIATION,42.33191670000001,-71.09880249999999
"0 BLOCK  ANSEL RD, 02124",2,100.0,2124,0,ANSEL RD,42.2865672,-71.0905867
"0 BLOCK  ANSON ST, 02130",3,84.40643863179075,2130,0,ANSON ST,42.3030401,-71.1145763
"0 BLOCK  ANSONIA RD, 02132",3,84.40643863179075,2132,0,ANSONIA RD,42.2722101,-71.1636812
"0 BLOCK  ANTHONY RIP VALENTI WAY, 02114",3,84.40643863179075,2114,0,ANTHONY RIP VALENTI WAY,42.3643453,-71.0599058
"0 BLOCK  ANTRIM ST, 02128",4,75.85513078470825,2128,0,ANTRIM ST,42.3871476,-71.0060304
"0 BLOCK  ANTWERP ST, 02135",14,42.25352112676056,2135,0,ANTWERP ST,42.3580203,-71.14077859999999
"0 BLOCK  APPIAN WAY, 02134",4,75.85513078470825,2134,0,APPIAN WAY,42.3611887,-71.1325446
"0 BLOCK  APPLETON ST, 02116",40,17.739771965124074,2116,0,APPLETON ST,42.3465918,-71.06933839999999
"0 BLOCK  APSINWALL ST, 02124",2,100.0,2124,0,APSINWALL ST,42.2919895,-71.0717528
"0 BLOCK  ARBELLA RD, 02124",2,100.0,2124,0,ARBELLA RD,42.2783583,-71.0766373
"0 BLOCK  ARBORCREST TER, 02126",6,64.738430583501,2126,0,ARBORCREST TER,42.2729454,-71.0868024
"0 BLOCK  ARBORFIELD RD, 02131",5,70.03688799463448,2131,0,ARBORFIELD RD,42.2716157,-71.1224028
"0 BLOCK  ARBOROUGH RD, 02131",3,84.40643863179075,2131,0,ARBOROUGH RD,42.2889417,-71.1292208
"0 BLOCK  ARBORWAY, 02130",8,56.87458081824279,2130,0,ARBORWAY,42.3126981,-71.1221374
"0 BLOCK  ARBROTH ST, 02122",6,64.738430583501,2122,0,ARBROTH ST,42.2905356,-71.05261399999999
"0 BLOCK  ARBUTUS ST, 02124",26,26.86116700201208,2124,0,ARBUTUS ST,42.2878481,-71.09015850000002
"0 BLOCK  ARCADIA PARK, 02122",14,42.25352112676056,2122,0,ARCADIA PARK,42.3011027,-71.0625179
"0 BLOCK  ARCADIA ST, 02119",4,75.85513078470825,2119,0,ARCADIA ST,42.31635869999999,-71.10016519999999
"0 BLOCK  ARCADIA ST, 02122",53,12.45808182427901,2122,0,ARCADIA ST,42.3019818,-71.0602139
"0 BLOCK  ARCH ST, 02110",36,19.634473507712947,2110,0,ARCH ST,42.3613114,-71.0482911
"0 BLOCK  ARCHDALE RD, 02131",54,12.173038229376251,2131,0,ARCHDALE RD,42.293521,-71.12273309999999
"0 BLOCK  ARCOLA ST, 02130",18,35.798122065727696,2130,0,ARCOLA ST,42.3244679,-71.1086037
"0 BLOCK  ARDALE ST, 02131",5,70.03688799463448,2131,0,ARDALE ST,42.29026200000001,-71.1329938
"0 BLOCK  ARDEN ST, 02134",6,64.738430583501,2134,0,ARDEN ST,42.3582706,-71.12921720000001
"0 BLOCK  ARDENT ST, 02131",2,100.0,2131,0,ARDENT ST,42.2860953,-71.14189999999999
"0 BLOCK  ARDMORE RD, 02132",2,100.0,2132,0,ARDMORE RD,42.2900693,-71.14754479999999
"0 BLOCK  ARGYLE ST, 02124",16,38.43058350100603,2124,0,ARGYLE ST,42.2880094,-71.0655712
"0 BLOCK  ARGYLE TER, 02124",2,100.0,2124,0,ARGYLE TER,42.2886176,-71.06565599999999
"0 BLOCK  ARION ST, 02125",14,42.25352112676056,2125,0,ARION ST,42.3161947,-71.06616410000001
"0 BLOCK  ARLINGTON ST, 02116",36,19.634473507712947,2116,0,ARLINGTON ST,42.3553899,-71.07268429999999
"0 BLOCK  ARLINGTON ST, 02135",14,42.25352112676056,2135,0,ARLINGTON ST,42.3517422,-71.15223809999999
"0 BLOCK  ARLINGTON ST, 02136",14,42.25352112676056,2136,0,ARLINGTON ST,,
"0 BLOCK  ARMANDINE ST, 02124",58,10.982562038900069,2124,0,ARMANDINE ST,42.2845188,-71.0715397
"0 BLOCK  ARMANDINE, 02124",3,84.40643863179075,2124,0,ARMANDINE,42.2845188,-71.0715397
"0 BLOCK  ARMINGTON ST, 02134",38,18.661971830985912,2134,0,ARMINGTON ST,42.3523211,-71.13653289999999
"0 BLOCK  ARMSTRONG ST, 02130",5,70.03688799463448,2130,0,ARMSTRONG ST,42.3213107,-71.10290379999999
"0 BLOCK  ARROW ST, 02129",2,100.0,2129,0,ARROW ST,42.3725441,-71.06447519999999
"0 BLOCK  ARUNDEL ST, 02215",5,70.03688799463448,2215,0,ARUNDEL ST,42.3479861,-71.10374360000002
"0 BLOCK  ARVALE RD, 02121",3,84.40643863179075,2121,0,ARVALE RD,42.2994368,-71.07525679999999
"0 BLOCK  ASH ST, 02111",4,75.85513078470825,2111,0,ASH ST,42.3486041,-71.0634965
"0 BLOCK  ASHBURTON PL, 02108",2,100.0,2108,0,ASHBURTON PL,42.35888600000001,-71.0617833
"0 BLOCK  ASHBURTON PL, 02114",6,64.738430583501,2114,0,ASHBURTON PL,42.35888600000001,-71.0617833
"0 BLOCK  ASHCROFT ST, 02130",2,100.0,2130,0,ASHCROFT ST,42.3212716,-71.1141755
"0 BLOCK  ASHEVILLE RD, 02136",2,100.0,2136,0,ASHEVILLE RD,42.2675817,-71.1293784
"0 BLOCK  ASHFIELD ST, 02131",2,100.0,2131,0,ASHFIELD ST,42.2895811,-71.1298206
"0 BLOCK  ASHFORD CT, 02134",7,60.39570757880617,2134,0,ASHFORD CT,42.3542615,-71.1260588
"0 BLOCK  ASHFORD ST, 02134",102,4.627766599597583,2134,0,ASHFORD ST,42.3541464,-71.1302244
"0 BLOCK  ASHLAND ST, 02122",12,46.12676056338029,2122,0,ASHLAND ST,42.3010032,-71.054323
"0 BLOCK  ASHLEY ST, 02128",11,48.52448021462106,2128,0,ASHLEY ST,42.3878291,-71.0037845
"0 BLOCK  ASHLEY ST, 02130",5,70.03688799463448,2130,0,ASHLEY ST,42.3204265,-71.10340120000001
"0 BLOCK  ASHMONT CT, 02122",2,100.0,2122,0,ASHMONT CT,42.2885453,-71.0543288
"0 BLOCK  ASHMONT ST, 02124",35,20.35546613011402,2124,0,ASHMONT ST,42.2854803,-71.0708748
"0 BLOCK  ASHTON ST, 02124",27,25.93896713615024,2124,0,ASHTON ST,42.2888086,-71.08877919999999
"0 BLOCK  ASPEN ST, 02119",5,70.03688799463448,2119,0,ASPEN ST,42.3237481,-71.0799845
"0 BLOCK  ASPINWALL RD, 02124",39,18.242790073776,2124,0,ASPINWALL RD,42.2919895,-71.0717528
"0 BLOCK  ASPINWALL ROAD, 02124",3,84.40643863179075,2124,0,ASPINWALL ROAD,42.2919895,-71.0717528
"0 BLOCK  ASPINWALL, 02124",2,100.0,2124,0,ASPINWALL,42.2919895,-71.0717528
"0 BLOCK  ASTICOU RD, 02130",10,50.93896713615024,2130,0,ASTICOU RD,42.3004068,-71.1146308
"0 BLOCK  ASTORIA ST, 02126",53,12.45808182427901,2126,0,ASTORIA ST,42.2808032,-71.08636659999999
"0 BLOCK  ATHELWOLD ST, 02124",203,1.374916163648554,2124,0,ATHELWOLD ST,42.2963465,-71.0747466
"0 BLOCK  ATHERSTONE ST, 02124",6,64.738430583501,2124,0,ATHERSTONE ST,42.2837693,-71.06862989999999
"0 BLOCK  ATHERTON ST, 02119",36,19.634473507712947,2119,0,ATHERTON ST,42.3156603,-71.0984445
"0 BLOCK  ATHERTON ST, 02130",3,84.40643863179075,2130,0,ATHERTON ST,42.3156603,-71.0984445
"0 BLOCK  ATHERTON, 02130",3,84.40643863179075,2130,0,ATHERTON,37.4613272,-122.197743
"0 BLOCK  ATHOL ST, 02134",12,46.12676056338029,2134,0,ATHOL ST,42.3616347,-71.13411420000001
"0 BLOCK  ATKINS ST, 02026",2,100.0,2026,0,ATKINS ST,42.2411787,-71.1462404
"0 BLOCK  ATKINS ST, 02135",12,46.12676056338029,2135,0,ATKINS ST,42.3518664,-71.17087149999999
"0 BLOCK  ATKINSON ST, 02118",18,35.798122065727696,2118,0,ATKINSON ST,42.3318987,-71.0690626
"0 BLOCK  ATLANTIC AVE, 02110",38,18.661971830985912,2110,0,ATLANTIC AVE,42.363667,-71.05107339999999
"0 BLOCK  ATLANTIC ST, 02127",8,56.87458081824279,2127,0,ATLANTIC ST,42.3343918,-71.0460619
"0 BLOCK  ATWOOD SQ, 02130",2,100.0,2130,0,ATWOOD SQ,42.307267,-71.1154688
"0 BLOCK  ATWOOD SQUARE, 02130",2,100.0,2130,0,ATWOOD SQUARE,42.307267,-71.1154688
"0 BLOCK  AUBURN SQ, 02129",2,100.0,2129,0,AUBURN SQ,42.3813427,-71.0692071
"0 BLOCK  AUBURN ST, 02129",8,56.87458081824279,2129,0,AUBURN ST,42.3806422,-71.06983939999999
"0 BLOCK  AUCKLAND ST, 02125",21,32.14285714285714,2125,0,AUCKLAND ST,42.3150886,-71.0551267
"0 BLOCK  AUGUSTUS AVE, 02131",10,50.93896713615024,2131,0,AUGUSTUS AVE,42.2820907,-71.1275848
"0 BLOCK  AURIGA ST, 02122",6,64.738430583501,2122,0,AURIGA ST,42.2890819,-71.0548816
"0 BLOCK  AUSTIN ST, 02129",101,4.728370221327971,2129,0,AUSTIN ST,42.3750602,-71.0645206
"0 BLOCK  AUSTIN ST, 02136",61,10.278336686787393,2136,0,AUSTIN ST,42.2575272,-71.1268272
"0 BLOCK  AUTUMN ST, 02215",2,100.0,2215,0,AUTUMN ST,42.339144,-71.1103931
"0 BLOCK  AVALON RD, 02132",2,100.0,2132,0,AVALON RD,42.2918732,-71.1586822
"0 BLOCK  AVE DE LAFAYETTE, 02111",65,9.289067739771962,2111,0,AVE DE LAFAYETTE,42.353263,-71.06090879999999
"0 BLOCK  AVE LOUIS PASTEUR, 02115",33,21.5962441314554,2115,0,AVE LOUIS PASTEUR,42.3398272,-71.10128329999999
"0 BLOCK  AVERTON ST, 02131",11,48.52448021462106,2131,0,AVERTON ST,42.2806743,-71.1343291
"0 BLOCK  AVERY ST, 02111",78,7.176391683433936,2111,0,AVERY ST,42.3531287,-71.0632785
"0 BLOCK  AVILA RD, 02136",10,50.93896713615024,2136,0,AVILA RD,42.255328,-71.1272207
"0 BLOCK  AVONDALE ST, 02124",10,50.93896713615024,2124,0,AVONDALE ST,42.27381219999999,-71.0694571
"0 BLOCK  AYLES RD, 02136",5,70.03688799463448,2136,0,AYLES RD,42.2668203,-71.1133743
"0 BLOCK  AYR RD, 02135",2,100.0,2135,0,AYR RD,42.3371047,-71.1487393
"0 BLOCK  B ST, 02127",42,16.834339369550634,2127,0,B ST,42.3382395,-71.0569479
"0 BLOCK  B ST, 02136",10,50.93896713615024,2136,0,B ST,42.250085,-71.1252397
"0 BLOCK  BABSON ST, 02126",55,11.753856472166335,2126,0,BABSON ST,42.2771013,-71.09297830000001
"0 BLOCK  BACK ST, 02116",2,100.0,2116,0,BACK ST,42.35046010000001,-71.0933077
"0 BLOCK  BADGER RD, 02136",6,64.738430583501,2136,0,BADGER RD,42.2428877,-71.1254448
"0 BLOCK  BAGNAL ST, 02134",2,100.0,2134,0,BAGNAL ST,42.3591838,-71.13615779999999
"0 BLOCK  BAILEY ST, 02124",121,3.521126760563376,2124,0,BAILEY ST,42.283229,-71.0712132
"0 BLOCK  BAIRD ST, 02124",75,7.629107981220661,2124,0,BAIRD ST,42.2854525,-71.0914961
"0 BLOCK  BAKER AVE, 02125",8,56.87458081824279,2125,0,BAKER AVE,42.3119912,-71.07135819999999
"0 BLOCK  BAKER CT, 02125",10,50.93896713615024,2125,0,BAKER CT,42.3247602,-71.06416970000001
"0 BLOCK  BAKER ST, 02132",13,44.26559356136821,2132,0,BAKER ST,42.2711502,-71.16182669999999
"0 BLOCK  BAKER'S ALY, 02113",2,100.0,2113,0,BAKER'S ALY,,
"0 BLOCK  BAKERSFIELD ST, 02125",56,11.45204560697518,2125,0,BAKERSFIELD ST,42.3175366,-71.0607938
"0 BLOCK  BALDWIN PL, 02113",8,56.87458081824279,2113,0,BALDWIN PL,42.3647095,-71.05581939999999
"0 BLOCK  BALDWIN ST, 02129",8,56.87458081824279,2129,0,BALDWIN ST,42.3809403,-71.07150659999999
"0 BLOCK  BALFOUR ST, 02125",35,20.35546613011402,2125,0,BALFOUR ST,42.31432789999999,-71.0765646
"0 BLOCK  BALINA PL, 02124",3,84.40643863179075,2124,0,BALINA PL,42.2867744,-71.0791866
"0 BLOCK  BALL ST, 02120",2,100.0,2120,0,BALL ST,42.3343333,-71.08204769999999
"0 BLOCK  BALLARD ST, 02130",4,75.85513078470825,2130,0,BALLARD ST,42.3088059,-71.1180431
"0 BLOCK  BALLOU AVE, 02124",28,25.16767270288397,2124,0,BALLOU AVE,42.2876325,-71.0805019
"0 BLOCK  BALSAM ST, 02124",20,33.433936955063714,2124,0,BALSAM ST,42.28720819999999,-71.09037510000002
"0 BLOCK  BANCROFT ST, 02119",19,34.607645875251514,2119,0,BANCROFT ST,42.31809610000001,-71.0983912
"0 BLOCK  BANCROFT, 02119",3,84.40643863179075,2119,0,BANCROFT,42.31809610000001,-71.0983912
"0 BLOCK  BANFIELD AVE, 02126",6,64.738430583501,2126,0,BANFIELD AVE,42.2763668,-71.0880584
"0 BLOCK  BANGOR RD, 02132",3,84.40643863179075,2132,0,BANGOR RD,42.2941372,-71.15220450000001
"0 BLOCK  BANTON ST, 02124",11,48.52448021462106,2124,0,BANTON ST,42.2885575,-71.0635313
"0 BLOCK  BANTRY WAY, 02127",2,100.0,2127,0,BANTRY WAY,42.3315521,-71.0318097
"0 BLOCK  BARBARA ST, 02130",2,100.0,2130,0,BARBARA ST,42.3208841,-71.1113469
"0 BLOCK  BARCLAY RD, 02132",3,84.40643863179075,2132,0,BARCLAY RD,42.2842079,-71.16218359999999
"0 BLOCK  BARDWELL ST, 02130",5,70.03688799463448,2130,0,BARDWELL ST,42.3083271,-71.1155754
"0 BLOCK  BARKER ST, 02135",2,100.0,2135,0,BARKER ST,42.3545248,-71.15426409999999
"0 BLOCK  BARNA RD, 02124",2,100.0,2124,0,BARNA RD,42.2814366,-71.0666052
"0 BLOCK  BARNES AVE, 02128",20,33.433936955063714,2128,0,BARNES AVE,42.3859342,-71.00665420000001
"0 BLOCK  BARROWS ST, 02134",15,39.87256874580818,2134,0,BARROWS ST,42.3532048,-71.1383297
"0 BLOCK  BARRY PARK, 02125",2,100.0,2125,0,BARRY PARK,42.3094173,-71.0674789
"0 BLOCK  BARRY ST, 02125",70,8.534540576794104,2125,0,BARRY ST,42.3094113,-71.067306
"0 BLOCK  BARTLETT SQ, 02130",2,100.0,2130,0,BARTLETT SQ,42.310485,-71.1065739
"0 BLOCK  BARTLETT ST, 02119",47,14.604292421193833,2119,0,BARTLETT ST,42.3276887,-71.0874704
"0 BLOCK  BARTLETT ST, 02129",13,44.26559356136821,2129,0,BARTLETT ST,42.377196,-71.0618145
"0 BLOCK  BARTLETT STATION DR, 02119",5,70.03688799463448,2119,0,BARTLETT STATION DR,42.3271683,-71.08748179999999
"0 BLOCK  BARTLETT STATION DRIVE, 02119",6,64.738430583501,2119,0,BARTLETT STATION DRIVE,42.3271683,-71.08748179999999
"0 BLOCK  BASILE ST, 02131",17,37.156270959087855,2131,0,BASILE ST,42.2871062,-71.1273902
"0 BLOCK  BATCHELDER ST, 02119",11,48.52448021462106,2119,0,BATCHELDER ST,42.3204942,-71.06951169999999
"0 BLOCK  BATCHELDER ST, 02125",10,50.93896713615024,2125,0,BATCHELDER ST,42.3204942,-71.06951169999999
